Mergable,1,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,1
NotOptimized,1,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,2
Mergable,1,1,0,0,0,0,0,0,0,0,7,0,0,3,0,0,5
NotOptimized,1,0,2,0,0,0,0,0,0,2,12,0,1,1,0,0,8
NotOptimized,2,0,0,0,0,0,0,1,0,0,5,1,3,3,1,0,10
NotOptimized,0,0,0,0,0,0,0,0,0,1,3,1,0,6,0,0,7
Mergable,2,1,0,0,0,0,0,1,0,1,3,0,0,4,0,0,3
NotOptimized,0,0,0,0,0,0,0,0,0,0,7,0,2,9,6,0,2
NotOptimized,2,0,1,0,0,2,0,0,5,0,9,0,2,4,6,0,1
NotOptimized,1,0,0,1,0,0,1,1,0,0,2,1,2,4,1,0,7
Mergable,2,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1
NotOptimized,2,0,2,1,0,1,1,1,0,1,4,0,1,9,1,1,12
Undescriptive,1,1,1,1,1,1,1,1,1,1,8,1,3,10,7,1,3
Mergable,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MemoryBloat&&Undescriptive,1,1,1,0,0,1,0,4,0,3,33,8,0,57,30,0,100
MessyConditionals,1,1,1,0,0,2,0,6,0,0,29,9,0,14,21,0,43
MessyConditionals,1,1,3,0,0,0,0,2,3,0,13,0,0,5,23,0,11
